Fe,Co,Ni,V,Mo,Cr,Cu,Mn,C,W,Ta,Nb,Al,Ti,Si,Type,PrcntRedArea,AnnTemp,AnnTime,AnnAtm,AnnCoolRate,AppMagField,ReannTemp,ReannTime,ReannTime,ReannCoolRate,AppMagField,Phase,GrainSize,Ms,Hc,Tc,MuMax,ER,TS,YS,Elong,HV,Cost
42,58,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.32,,941,4074,5.78,,,,,19.62
41,59,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.31,,938,3653,5.82,,,,,19.95
40,60,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.3,,935,3268,5.87,,,,,20.27
39,61,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.29,,932,,5.94,,,,,20.59
38,62,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.28,,929,,6.06,,,,,20.9
37,63,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.26,,925,,6.24,,,,,21.22
36,64,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.25,,922,,6.51,,,,,21.54
35,65,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.24,,919,,6.82,,,,,21.86
34,66,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.23,,916,,7.14,,,,,22.18
33,67,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheet,,850,,Vacuum,360,0,25,0,Air,0,0,,,2.22,,913,,7.6,,,,,22.5
