,Fe,Co,Ni,V,Mo,Cr,Cu,Mn,C,W,Ta,Nb,Al,Ti,Si,Ms,Hc,Tc,ER,TS,YS,Elong,HV,Cost
758,49.78,49.29,0,0,0,0,0,0.93,0,0,0,0,0,0,0,2.38,,963,,,,,,16.83
759,49.58,49.09,0,0,0,0,0,1.33,0,0,0,0,0,0,0,2.39,,963,,,,,,16.77
760,49.36,48.87,0,0,0,0,0,1.77,0,0,0,0,0,0,0,2.4,,964,,,,,,16.71
761,48.71,48.71,0,0,0,0,0,2.58,0,0,0,0,0,0,0,2.41,,964,,,,,,16.67
762,49.65,49.15,1.2,0,0,0,0,0,0,0,0,0,0,0,0,2.38,,963,,,,,,16.93
763,49.4,48.9,1.7,0,0,0,0,0,0,0,0,0,0,0,0,2.39,,964,,,,,,16.91
764,49.41,48.43,2.16,0,0,0,0,0,0,0,0,0,0,0,0,2.39,,965,,,,,,16.82
765,48.06,47.58,4.36,0,0,0,0,0,0,0,0,0,0,0,0,2.41,,966,,,,,,16.83
766,48.46,50.4,0,0,0,0,1.14,0,0,0,0,0,0,0,0,2.35,,961,,,,,,17.22
767,49.46,48.47,0,0,0,0,2.07,0,0,0,0,0,0,0,0,2.33,,965,,,,,,16.63
768,47.05,49.41,0,0,0,0,3.54,0,0,0,0,0,0,0,0,2.3,,963,,,,,,17
769,49,49,0,2,0,0,0,0,0,0,0,0,0,0,0,,1671.13,970,,,1233,8.2,,23.35
770,49,49,0,2,0,0,0,0,0,0,0,0,0,0,0,,1535.85,970,,,,,,23.35
771,49,49,0,2,0,0,0,0,0,0,0,0,0,0,0,2.16,1400.56,970,,,1047,11.8,,23.35
772,49,49,0,2,0,0,0,0,0,0,0,0,0,0,0,,1185.7,970,,,,,,23.35
773,49,49,0,2,0,0,0,0,0,0,0,0,0,0,0,,711.83,970,,,838,14.1,,23.35
774,49,49,0,2,0,0,0,0,0,0,0,0,0,0,0,,755.99,970,,,,,,23.35
775,49,49,0,2,0,0,0,0,0,0,0,0,0,0,0,2.26,350.14,970,,,629,12.4,,23.35
776,49,49,0,2,0,0,0,0,0,0,0,0,0,0,0,,127.32,970,,,477,8.2,,23.35
777,49,49,0,2,0,0,0,0,0,0,0,0,0,0,0,,113.8,970,,,,,,23.35
778,49,49,0,2,0,0,0,0,0,0,0,0,0,0,0,,113,970,,,,,,23.35
779,49,49,0,2,0,0,0,0,0,0,0,0,0,0,0,,96.29,970,,,,,,23.35
780,49,49,0,2,0,0,0,0,0,0,0,0,0,0,0,,95.49,970,,,,,,23.35
781,49,49,0,2,0,0,0,0,0,0,0,0,0,0,0,2.3,95.49,970,,,414,7.2,,23.35
782,70.1,6.8,17.7,0,3,0,0,0,0,0,0,0,0,2.4,0,,,,,559,382,1,169,7.31
783,70.1,6.8,17.7,0,3,0,0,0,0,0,0,0,0,2.4,0,,,,,804,588,0.7,277,7.31
784,70.1,6.8,17.7,0,3,0,0,0,0,0,0,0,0,2.4,0,,,,,1040,834,0.6,293,7.31
785,70.1,6.8,17.7,0,3,0,0,0,0,0,0,0,0,2.4,0,,,,,1079,814,0.4,320,7.31
786,70.1,6.8,17.7,0,3,0,0,0,0,0,0,0,0,2.4,0,,,,,1265,1187,0.4,360,7.31
787,70.1,6.8,17.7,0,3,0,0,0,0,0,0,0,0,2.4,0,,,,,490,382,0.6,195,7.31
788,70.1,6.8,17.7,0,3,0,0,0,0,0,0,0,0,2.4,0,,,,,637,510,0.4,218,7.31
789,70.1,6.8,17.7,0,3,0,0,0,0,0,0,0,0,2.4,0,,,,,834,618,0.6,278,7.31
790,70.1,6.8,17.7,0,3,0,0,0,0,0,0,0,0,2.4,0,,,,,775,598,0.7,208,7.31
791,70.1,6.8,17.7,0,3,0,0,0,0,0,0,0,0,2.4,0,,,,,598,530,0.3,252,7.31
792,70.1,6.8,17.7,0,3,0,0,0,0,0,0,0,0,2.4,0,,,,,883,677,0.4,255,7.31
793,70.1,6.8,17.7,0,3,0,0,0,0,0,0,0,0,2.4,0,,,,,1187,990,0.5,270,7.31
794,85,0,11.6,0,1.2,0,1.8,0,0,0,0,0,0,0.4,0,,,,,863,706,4,220,2.99
795,85,0,11.6,0,1.2,0,1.8,0,0,0,0,0,0,0.4,0,,,,,863,726,4,218,2.99
